0,0.761594,0,-0.999005,0.00499979,-0.999005,0.00499979,0.000497252,0.464081,0.000497252,0.464081,0.0437066,0.0437066
0.005,0.761594,0,-0.99899,0.0109976,-0.998994,0.0129961,0.000505239,0.466431,0.000503242,0.467212,0.0507639,0.053096
0.01,0.761594,0,-0.998964,0.0177885,-0.99898,0.0253679,0.000517905,0.469083,0.000510126,0.472034,0.0587356,0.0675287
0.015,0.761594,0,-0.998925,0.0248064,-0.998965,0.0439386,0.000537515,0.471816,0.000517338,0.479218,0.0669587,0.0889714
0.02,0.761594,0,-0.998865,0.0308934,-0.998953,0.0709129,0.000567406,0.474178,0.000523657,0.489541,0.0741004,0.119618
0.025,0.761594,0,-0.998776,0.0339924,-0.998946,0.108427,0.000611961,0.475378,0.000526935,0.503672,0.0778132,0.161178
0.03,0.761594,0,-0.998648,0.0307879,-0.998953,0.157225,0.000675857,0.474137,0.000523567,0.521656,0.074302,0.213217
0.035,0.761594,0,-0.998479,0.0164013,-0.998983,0.214205,0.000760495,0.468542,0.000508696,0.542084,0.0578428,0.270848
0.04,0.761594,0,-0.998285,-0.0155447,-0.999046,0.270651,0.000857353,0.455983,0.000477225,0.561708,0.0205173,0.3244
0.045,0.761594,0,-0.998109,-0.0716552,-0.999147,0.31549,0.000945657,0.433479,0.000426501,0.576861,-0.0466928,0.364323
0.05,0.761594,0,-0.99799,-0.154249,-0.999278,0.342689,0.00100508,0.39935,0.000360757,0.585864,-0.147843,0.387346
0.055,0.761594,0,-0.99794,-0.251514,-0.999411,0.353458,0.00103,0.357697,0.000294477,0.589389,-0.267174,0.396129
0.06,0.761594,0,-0.997946,-0.334127,-0.999508,0.352198,0.00102705,0.321157,0.00024578,0.588977,-0.365699,0.394965
0.065,0.761594,0,-0.997984,-0.381699,-0.999559,0.343856,0.00100777,0.299664,0.000220358,0.586247,-0.420241,0.387964
0.07,0.761594,0,-0.998033,-0.401478,-0.999579,0.333074,0.000983536,0.290636,0.000210315,0.582697,-0.442344,0.378856
0.075,0.761594,0,-0.998078,-0.408117,-0.999586,0.322681,0.000960916,0.287594,0.000206977,0.579255,-0.449708,0.369967
0.08,0.761594,0,-0.998117,-0.40991,-0.999588,0.313589,0.000941693,0.286772,0.000206113,0.576226,-0.451721,0.362097
0.085,0.761594,0,-0.998149,-0.410109,-0.999588,0.305809,0.00092563,0.28668,0.000205994,0.573622,-0.451977,0.355289
0.09,0.761594,0,-0.998176,-0.409831,-0.999588,0.299106,0.00091207,0.286808,0.000206143,0.571369,-0.451705,0.349369
0.095,0.761594,0,-0.998199,-0.409438,-0.999587,0.293235,0.000900417,0.286988,0.000206321,0.569388,-0.451303,0.344143
0.1,0.761594,0,-0.99822,-0.409043,-0.999587,0.287996,0.000890195,0.28717,0.00020653,0.567616,-0.450893,0.339446
0.105,0.761594,0,-0.998238,-0.408672,-0.999587,0.283237,0.000881016,0.287339,0.000206709,0.566,-0.450509,0.335152
