0,0.004675,0.0903333
0.1,0.0173732,0.160857
0.2,0.0360474,0.210355
0.3,0.0585709,0.238427
0.4,0.0828182,0.245476
0.5,0.106744,0.232676
0.6,0.128459,0.201912
0.7,0.146292,0.15569
0.8,0.158851,0.0970389
0.9,0.16507,0.0293768
1,0.164235,-0.0436198
1.1,0.156007,-0.118164
1.2,0.140427,-0.190508
1.3,0.117899,-0.257084
1.4,0.0891686,-0.314648
1.5,0.0552834,-0.360399
1.6,0.0175434,-0.392084
1.7,-0.0225587,-0.408085
1.8,-0.0634038,-0.407474
1.9,-0.103317,-0.390043
2,-0.140641,-0.356308
2.1,-0.173804,-0.307481
2.2,-0.201392,-0.245416
2.3,-0.222202,-0.17253
2.4,-0.235301,-0.0916975
2.5,-0.240058,-0.00613825
2.6,-0.236178,0.0807212
2.7,-0.223711,0.165386
2.8,-0.203053,0.244436
2.9,-0.174934,0.314666
3,-0.140385,0.373215
3.1,-0.1007,0.417681
3.2,-0.0573844,0.446226
3.3,-0.0120964,0.457641
3.4,0.0334213,0.451402
3.5,0.07741,0.427693
3.6,0.118165,0.387393
3.7,0.154105,0.332049
3.8,0.183834,0.26381
3.9,0.206198,0.185343
4,0.220333,0.0997287
4.1,0.225696,0.0103351
4.2,0.222092,-0.0793133
4.3,0.209677,-0.165678
4.4,0.188959,-0.245347
4.5,0.16077,-0.31517
4.6,0.126239,-0.372389
4.7,0.0867456,-0.414742
4.8,0.0438661,-0.440556
4.9,-0.000690745,-0.448817
5,-0.0451501,-0.439206
5.1,-0.0877421,-0.412115
5.2,-0.126772,-0.36863
5.3,-0.160688,-0.31049
5.4,-0.188141,-0.240016
5.5,-0.208043,-0.160019
5.6,-0.219604,-0.0736883
5.7,-0.222367,0.0155336
5.8,-0.216228,0.104091
5.9,-0.201436,0.188456
6,-0.178583,0.265267
6.1,-0.148587,0.331464
6.2,-0.112645,0.384411
6.3,-0.0721939,0.422
6.4,-0.0288502,0.442735
6.5,0.0156556,0.445793
6.6,0.0595468,0.431055
6.7,0.101071,0.399112
6.8,0.138571,0.351238
6.9,0.170551,0.289346
7,0.195733,0.215905
7.1,0.213113,0.133846
7.2,0.221997,0.0464411
7.3,0.222029,-0.0428226
7.4,0.213208,-0.130385
7.5,0.195885,-0.212754
7.6,0.17075,-0.286644
7.7,0.138805,-0.349109
7.79999,0.101323,-0.397657
7.89999,0.0597986,-0.430352
7.99999,0.0158872,-0.445891
8.09999,-0.0286605,-0.443652
8.2,-0.0720687,-0.423725
8.3,-0.112606,-0.386904
8.4,-0.148658,-0.334657
8.5,-0.178785,-0.269066
8.6,-0.201787,-0.192747
8.7,-0.216746,-0.108741
8.8,-0.223066,-0.0203977
8.9,-0.220495,0.0687606
9,-0.209135,0.155179
9.1,-0.189439,0.235414
9.2,-0.162192,0.306264
9.3,-0.128479,0.364906
9.4,-0.0896454,0.409002
9.5,-0.0472385,0.436794
9.6,-0.00294888,0.447173
9.7,0.0414578,0.439726
9.8,0.0842113,0.414749
9.9,0.123607,0.373238
